Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Date,Open,High,Low,Close
MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",1957-03-04,66740,2025-05-12,146.089996,151.75,145.27000,147.88000
AOS,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin",2017-07-26,91142,2025-05-12,69.99000,70.89000,68.29000,68.35000
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",1957-03-04,1800,2025-05-12,131.78999,133.66000,128.19000,128.56000
ABBV,AbbVie,Health Care,Biotechnology,"North Chicago, Illinois",2012-12-31,1551152,2025-05-12,180,192.69000,176.64000,177.44000
ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,1467373,2025-05-12,316.47000,325.70999,315.35999,320.41000
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",1997-05-05,796343,2025-05-12,394.32999,400.089996,392.76001,399.47000
AMD,Advanced Micro Devices,Information Technology,Semiconductors,"Santa Clara, California",2017-03-20,2488,2025-05-12,110.42000,122.52000,106.98000,117.72000
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998-10-02,874761,2025-05-12,11.51000,12.64000,11.37000,12.52000
AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",1999-05-28,4977,2025-05-12,106.099998,106.88000,103.71000,103.90000
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",2000-06-05,1090872,2025-05-12,110.81000,116.88000,110.45000,111.52000
APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,2025-05-12,278.23001,281.76001,268.17001,271.48001
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",2023-09-18,1559720,2025-05-12,133.16000,139.83501,132.14000,137.45000
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",2007-07-12,1086222,2025-05-12,79.010002,79.70000,77.25100,77.51000
ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",2016-07-01,915913,2025-05-12,62.60000,63.64000,60.46000,61.080002
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",2017-03-20,1035443,2025-05-12,76.25,76.75,70.15000,70.99000
ALGN,Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona",2017-06-19,1097149,2025-05-12,192.30000,196.38000,186.029999,187.64999
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2013-12-02,1579241,2025-05-12,145,145.94000,140.53000,141.080002
LNT,Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin",2016-07-01,352541,2025-05-12,61.22000,61.36000,58.98000,60.47000
ALL,Allstate,Financials,Property & Casualty Insurance,"Northbrook, Illinois",1995-07-13,899051,2025-05-12,203.5,204.78000,197.42880,200.59000
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",2014-04-03,1652044,2025-05-12,157.49001,167,156.16000,165.37000
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",2006-04-03,1652044,2025-05-12,159.10001,168.34000,157.58000,166.81000
MO,Altria,Consumer Staples,Tobacco,"Richmond, Virginia",1957-03-04,764180,2025-05-12,58.27000,58.27000,56.060001,56.33000
AMZN,Amazon,Consumer Discretionary,Broadline Retail,"Seattle, Washington",2005-11-18,1018724,2025-05-12,210.71001,214.84000,205.75,210.25
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,"Warmley, Bristol, United Kingdom",2019-06-07,1748790,2025-05-12,9.25,9.39000,9.075000,9.18000
AEE,Ameren,Utilities,Multi-Utilities,"St. Louis, Missouri",1991-09-19,1002910,2025-05-12,96.93000,96.93000,93.27000,95.010002
